Property Reference,Property Description,Rateable Value,Account Name,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Empty Date,Exemption Code
4600006300024,SHOP AND PREMISES,"£25,250.00",Skln Limited,16/07/2025,63 Brent Street,London,,,,NW4 2EA,16/07/2025,3 MONTHS
3786000001022B,OFFICES AND PREMISES,£990.00,St Albans Lane Limited,15/04/2019,2nd Flr Room 8,St Albans House,St Albans Lane,London,,NW11 7QB,15/04/2019,DE-MINIMUS RATEABLE VALUE
37860000010198,OFFICES AND PREMISES,"£1,850.00",St Albans Lane Limited,13/04/2021,2nd Flr Room 3,St Albans House,St Albans Lane,London,,NW11 7QB,13/04/2021,DE-MINIMUS RATEABLE VALUE
3786000001020A,OFFICES AND PREMISES,"£2,400.00",St Albans Lane Limited,01/09/2021,2nd Flr Room 4,St Albans House,St Albans Lane,London,,NW11 7QB,01/09/2021,DE-MINIMUS RATEABLE VALUE
37860000010234,OFFICES AND PREMISES,"£6,600.00",St Albans Lane Limited,14/05/2025,1st Flr Room 9,St Albans House,St Albans Lane,London,,NW11 7QB,14/05/2025,NONE
0030000460000B,SHOP AND PREMISES,"£25,000.00",St George Central London Ltd,23/07/2012,46 Aerodrome Road,London,,,,NW9 5WE,23/07/2012,NONE
24550000010065,KIOSK AND PREMISES,"£10,000.00",St George City Ltd,27/02/2025,Timpsons,Unit 4,Hyde Estate Road,London,,NW9 6JX,20/10/2024,NONE
24550000010031,SHOP AND PREMISES,"£15,250.00",St George City Ltd,27/02/2025,Argos,Unit 4,Hyde Estate Road,London,,NW9 6JX,30/11/2024,NONE
300001200001,DANCE STUDIO AND PREMISES,"£39,500.00",St George North London Limited,16/03/2021,12 Aerodrome Road,London,,,,NW9 5GW,16/03/2021,NONE
4600014110152,BUSINESS UNIT AND PREMISES,"£5,700.00",Stamp Duty Rebate Ltd- In Liquidation,15/10/2024,Suite 51 Churchill Hse Bus Cntr 137,Brent Street,London,,,NW4 4DJ,15/10/2024,LIQUIDATION
22003001900002,SHOP AND PREMISES,"£27,500.00",Standard Commercial Enterprises Company Limited,30/10/2020,19 Heritage Avenue,London,,,,NW9 5XY,29/06/2012,NONE
301000002M0026,OFFICES AND PREMISES,"£6,500.00",Standard Life Trustee Company Limited,22/04/2015,Suite 2 Gnd Flr,Ashdon House,Moon Lane,Barnet,Herts,EN5 5YL,05/03/2015,NONE
5160012100014,SHOP AND PREMISES,"£9,500.00",Statons Estate Agents Llp,15/12/2016,121 The Broadway,London,,,,NW7 3TG,18/06/2018,NONE
18540000300003,SHOP AND PREMISES,"£18,750.00",Summercourt Holdings Limited,30/11/2024,3 Grand Arcade,London,,,,N12 0EH,30/11/2024,NONE
1854000071014A,OFFICES AND PREMISES,"£3,300.00",Summercourt Holdings Ltd,30/06/2025,Office 10,2nd Flr,7 Grand Arcade,London,,N12 0EH,30/06/2025,NONE
18540000710121,OFFICES AND PREMISES,"£8,500.00",Summercourt Holdings Ltd,15/08/2014,Management Office,2nd Flr,7 Grand Arcade,London,,N12 0EH,15/08/2014,NONE
18540000700011,OFFICES AND PREMISES,"£20,000.00",Summercourt Holdings Ltd,31/08/2024,Ballards Chartered Accountants,Apex House,Grand Arcade,London,,N12 0EH,31/08/2024,NONE
19680006800016,SHOP AND PREMISES,"£13,500.00",Sushi Delight Ltd,09/07/2024,68 Greyhound Hill,London,,,,NW4 4JB,01/09/2025,3 MONTHS
28540004500014,SHOP AND PREMISES,"£17,000.00",Swanwell Property Ltd,01/03/2025,45 The Market Place Falloden Way,London,,,,NW11 6JT,01/03/2025,NONE
1380000010178,OFFICES AND PREMISES,"£2,950.00",Swiftnet Limited,01/09/2015,Unit 2 1st Flr,Olympia House,Armitage Road,London,,NW11 8RQ,01/04/2020,NONE
1380000010197,OFFICES AND PREMISES,"£3,400.00",Swiftnet Limited,01/09/2015,Unit 4 1st Flr,Olympia House,Armitage Road,London,,NW11 8RQ,01/04/2020,NONE
0138000001020B,OFFICES AND PREMISES,"£3,600.00",Swiftnet Limited,01/09/2015,Unit 5 1st Flr,Olympia House,Armitage Road,London,,NW11 8RQ,01/04/2020,NONE
1380000010182,OFFICES AND PREMISES,"£5,100.00",Swiftnet Limited,01/09/2015,Unit 3 1st Flr,Olympia House,Armitage Road,London,,NW11 8RQ,01/04/2020,NONE
27220022110018,SHOP AND PREMISES,"£4,800.00",Talbot Designs Ltd,01/04/2017,Front,221 Long Lane,London,,,N3 2RL,25/03/2024,NONE
1102002020000B,OFFICES AND PREMISES,"£8,100.00",Tepbrook Properties Limited,04/01/2020,202 Cricklewood Broadway,London,,,,NW2 3DU,04/01/2020,NONE
1582011830003A,RESTAURANT AND PREMISES,"£27,500.00",The Codfather (Finchley) Ltd,08/02/2024,1183 Finchley Road,London,,,,NW11 0AA,12/03/2025,NONE
0752000040000B,BANK AND PREMISES,"£90,500.00",The Gym Limited,23/04/2025,1a Vivian Avenue & 3 4-5,Central Circus,London,,,NW4 3JT,11/09/2024,NONE
1582008100000B,SHOP AND PREMISES,"£44,250.00",The Hampstead Garden Suburb Trust,14/12/2021,810-812 Finchley Road,London,,,,NW11 6XL,14/12/2021,LISTED
260000719027,STORE AND PREMISES,£670.00,The Hampstead Garden Suburb Trust Limited,23/02/2023,Stores Z,1-7 Addison Way,London,,,NW11 6AL,30/08/2021,DE-MINIMUS RATEABLE VALUE
260000110031,STORE AND PREMISES,"£2,850.00",The Hampstead Garden Suburb Trust Limited,23/02/2023,Stores W & X,1-7 Addison Way,London,,,NW11 6AL,23/02/2023,DE-MINIMUS RATEABLE VALUE
2500004100008,WORKSHOP AND PREMISES,"£23,250.00",The Mayor And Burgesses Of The London Bo,23/12/2023,41 Barnfield Road,Edgware,,,,HA8 0AY,23/12/2023,NONE
30560004910381,CAR PARKING SPACE AND PREMISES,£300.00,The National Domestic Ratepayer,21/11/2024,Parking Space For Unit 21,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,02/10/2017,DE-MINIMUS RATEABLE VALUE
30560004910432,CAR PARKING SPACE AND PREMISES,£300.00,The Non Domestic Ratepayer,12/11/2024,Parking Space For Unit 25,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,01/07/2022,DE-MINIMUS RATEABLE VALUE
1160090610079,OFFICES AND PREMISES,"£16,500.00",The Oaktree Practice Group Limited,09/11/2022,1st Flr Rear Office,Elscot House,Arcadia Avenue,London,,N3 2JU,04/04/2025,NONE
6080010410097,STORE AND PREMISES,"£14,000.00",The Tichborne Family Trust,31/07/2025,Unit 9 At 104-108 Bunns Lane,Bunns Lane,London,,,NW7 2AJ,31/07/2025,INDUSTRIAL
30560004910184,OFFICES AND PREMISES,"£5,900.00",The Tradebox Retail Limited,08/07/2025,Unit 20 Intec House,49 Moxon Street,Barnet,Hertfordshire,,EN5 5TS,08/07/2025,3 MONTHS
30560004910377,CAR PARKING SPACE AND PREMISES,£300.00,The Tradebox Retail Limited,08/07/2025,Parking Space For Unit 20,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,08/07/2025,DE-MINIMUS RATEABLE VALUE
30560004910409,CAR PARKING SPACE AND PREMISES,£300.00,The Tradebox Retail Limited,01/05/2024,Parking Space For Unit 22,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,02/10/2017,DE-MINIMUS RATEABLE VALUE
30560004910447,CAR PARKING SPACE AND PREMISES,£300.00,The Tradebox Retail Limited,24/06/2025,Parking Space For Unit 26,Intec House,49 Moxon Street,Barnet,Hertfordshire,EN5 5TS,01/07/2022,DE-MINIMUS RATEABLE VALUE
45420018310125,SHOP AND PREMISES,"£32,250.00",The Waterside Bistro (properties) Ltd,01/07/2021,6 Damsel Walk,London,,,,NW9 7FB,01/09/2018,NONE
22440015200017,SHOP AND PREMISES,"£28,750.00",The Woodlands Group Limited,07/03/2025,152 High Street,Barnet,Hertfordshire,,,EN5 5XP,07/03/2025,NONE
1485001900008,SHOP AND PREMISES,"£25,000.00",Thornrest Investment Properties Ltd,07/01/2025,19 Boulevard Drive,London,,,,NW9 5JH,03/12/2023,NONE
34440000900012,WORKSHOP AND PREMISES,"£58,500.00",Timpson Group Limited,04/11/2022,9 Plantagenet Road,Barnet,,,,EN5 5JG,13/08/2024,INDUSTRIAL
1382100001001A,COMMUNICATION STATION AND PREMISES,"£4,000.00",T-Mobile (uk) Ltd,01/04/2005,T-Mobile 80102 In Car Electrics (dealer),The Promenade,Edgware,,,HA8 7JZ,01/04/2005,SECTION 65 COMMUNICATION STATION
31900000010018,COMMUNICATION STATION AND PREMISES,"£5,100.00",T-Mobile (uk) Ltd,01/04/2010,T-Mobile (70425),Shell Petrol Station,Northway Circus,London,,NW7 3ET,16/10/2023,SECTION 65 COMMUNICATION STATION
45420006010025,WAREHOUSE AND PREMISES,"£242,000.00",Topsy Turvy Designs Limited,30/06/2023,60 - 68,The Broadway,London,,,NW9 6AE,30/06/2023,INDUSTRIAL
43080004400028,SHOP AND PREMISES,"£45,500.00",Totteridge Beauty Secrets Ltd,19/10/2018,44-46 Totteridge Lane,London,,,,N20 9QJ,23/07/2025,3 MONTHS
15820091910116,VEHICLE REPAIR WORKSHOP AND PREMISES,"£2,100.00",Transport For London,01/04/2023,Railway Arch 11a R/o 919-921,Finchley Road,London,,,NW11 7PE,01/04/2023,DE-MINIMUS RATEABLE VALUE
30900029410106,WORKSHOP AND PREMISES,"£2,400.00",Transport For London,19/05/2021,Workshop 9,294 Nether Street,London,,,N12 1RL,20/08/2018,INDUSTRIAL
3090002941011A,OFFICES AND PREMISES,"£4,850.00",Transport For London,05/01/2024,Suites 5-6,294 Nether Street,London,,,N12 1RL,05/01/2024,NONE
40900000800008,SHOP AND PREMISES,"£15,250.00",Transport For London,14/12/2007,8-10 Station Road,London,,,,N3 2RY,14/12/2007,NONE
44760049910004,ADVERTISING RIGHT AND PREMISES,"£30,750.00",Trencho Holdings Limited,18/06/2015,Advertising Rights ADJ Trenchco at,499 Watford Way,London,,,NW7 2QP,28/11/2024,NONE
10000001100001,SHOP AND PREMISES,"£6,700.00",Trustees Of Grass Root Social Enterprise,12/02/2013,11 The Concourse,London,,,,NW9 5XB,22/06/2023,NONE
11020019200011,SHOP AND PREMISES,"£19,250.00",Trustees Of The Rachel Charitable Trust,17/07/2025,192 Cricklewood Broadway,London,,,,NW2 3EB,17/07/2025,3 MONTHS
1102001900001A,SHOP AND PREMISES,"£17,250.00",Trustees Of The Rachel Charitable Trust,15/03/2023,190 Cricklewood Broadway,London,,,,NW2 3EB,15/03/2023,NONE
2200036210008,RESTAURANT AND PREMISES,"£23,000.00",Tulsi Enterprises Limited,21/08/2024,362 Ballards Lane,London,,,,N12 0EE,01/05/2024,NONE
5860001120003,WAREHOUSE AND PREMISES,"£111,000.00",Uk Insurance Limited,01/10/2024,Unit 11 Brunswick Industrial Park,Brunswick Way,London,,,N11 1JL,01/10/2024,INDUSTRIAL
5860009110134,CAR PARKING SPACES,"£33,250.00",UK Insurance Ltd,19/11/2012,Car Park Spaces,Brunswick Industrial Park,Brunswick Way,London,,N11 1JL,19/11/2012,LAND
44760052410086,OFFICES AND PREMISES,"£1,925.00",Unity Asphalt Co (london) Ltd,01/04/2000,Rear 1st Fl 524,Watford Way,London,,,NW7 4RS,12/04/2024,DE-MINIMUS RATEABLE VALUE
4476005241009B,WORKSHOP AND PREMISES,"£17,000.00",Unity Asphalt Co (london) Ltd,01/04/2000,Gnd F Centre 524 & Gnd & 1st F R/o,524 Watford Way,London,,,NW7  4RS,12/04/2024,INDUSTRIAL
44760052410071,OFFICES AND PREMISES,"£11,000.00",Unity Asphalt Co (london) Ltd,01/10/2003,Front & Middle 1st Fl 524,Watford Way,London,,,NW7 4RS,12/04/2024,NONE
44760052410052,SHOP AND PREMISES,"£12,000.00",Unity Asphalt Co (london) Ltd,01/04/2000,Gnd Fl Front,524 Watford Way,London,,,NW7 4RS,12/04/2024,NONE
22380006720006,PUBLIC HOUSE AND PREMISES,"£75,600.00",Urban Pubs & Bars Limited,07/07/2025,Bald Faced Stag,69 High Road,London,,,N2 8AB,06/05/2025,NONE
36360026610001,OFFICES AND PREMISES,"£2,000.00",V.a (property Management) Limited,08/10/2021,R/o,266 Regents Park Road,London,,,N3 3HN,11/04/2017,DE-MINIMUS RATEABLE VALUE
36360033200013,SHOP AND PREMISES,"£16,250.00",Vibez Caribbean Ltd,01/11/2023,332 Regents Park Road,London,,,,N3 2LN,31/07/2025,3 MONTHS
16800001610018,WORKSHOP AND PREMISES,"£20,750.00",Virya Friern Park Limited,17/04/2025,16 Friern Park,London,,,,N12 9DA,08/10/2024,NONE
088400019A0008,COMMUNICATION STATION AND PREMISES,"£20,500.00",Vodafone Uk Ltd,01/04/2000,Surface Area Of Roof @,19 Church Road,London,,,NW4 4BJ,17/08/2016,SECTION 65 COMMUNICATION STATION
459600011A0002,RECORDING STUDIO AND PREMISES,"£5,100.00",Wakefield Home Limited,25/03/2025,11a Wetherill Road,London,,,,N10 2LS,23/09/2025,3 MONTHS
337400030A0004,OFFICES AND PREMISES,"£8,900.00",Warden Housing Association,01/04/2000,30a Parklea Close,London,,,,NW9 5GJ,06/02/2024,NONE
0316000241011A,STORE AND PREMISES,"£2,325.00",Warwick Court Equipment Ltd,01/04/2000,1st Flr R/o 22-24,Bell Lane,London,,,NW4 2AD,16/05/2014,DE-MINIMUS RATEABLE VALUE
4520011020008,SHOP AND PREMISES,"£380,000.00",Watches Of Switzerland Operations Limited,01/04/2000,Unit V20-V21,Brent Cross Regional Shopping Centre,London,,,NW4 3FG,14/08/2022,NONE
22380007000004,SHOP AND PREMISES,"£20,750.00",Well Street Pizza Company Ltd,31/07/2025,70 High Road,London,,,,N2 9PN,01/09/2024,NONE
34600000010142,OFFICES AND PREMISES,"£34,750.00",Wessex Associated Trading (a25) Limited,07/03/2025,1st Flr Hathaway House,Popes Drive,London,,,N3 1QF,07/03/2025,NONE
4520100320001,RESTAURANT AND PREMISES,"£138,000.00",West London Foods Ltd T/a German Doner Kebab,21/03/2025,Unit S,3 Brent Cross Regional Shopping Centre,London,,,NW4 3FB,21/03/2025,NONE
40860002210019,OFFICES AND PREMISES,"£16,750.00",West Sand Limited,25/03/2021,1st & 2nd Flrs,22 Station Road,Edgware,,,HA8 7AU,25/03/2021,NONE
37080090120001,SHOWROOM AND PREMISES,"£47,250.00",Westfields Homes Limited,11/12/2024,Topps Tiles,Rookery Way,London,,,NW9 6QE,11/12/2024,NONE
4086001871001B,SHOP AND PREMISES,"£5,200.00",Westway Investment Limited,01/12/2020,Gf Rear,187 Station Road,Edgware,,,HA8 7JX,01/04/2022,NONE
4426000011003A,STORE AND PREMISES,"£4,800.00",Woodbridge Sun Cloud Limited,29/09/2022,1a Also K/a R/o 15 Bittacy Hill,Vineyard Avenue,London,,,NW7 1HR,29/09/2022,INDUSTRIAL
760004720006,LAND USED FOR STORAGE AND PREMISES,"£58,000.00",Xstro Investments Limited,01/01/2024,47 Algernon Road,London,,,,NW4 3SY,01/01/2024,LAND
3636002500001B,BETTING SHOP AND PREMISES,"£20,250.00",Yossis Investments Ltd,26/02/2025,250 Regents Park Road,London,,,,N3 3HN,26/08/2022,NONE
36360024820009,OFFICES AND PREMISES,"£44,750.00",Z K Z Properties Limited,01/10/2013,248 Regents Park Road,London,,,,N3 3HN,06/08/2021,NONE
